Input Voltage,Temperature,Motion,box_number,datetime
23.7,24.5,56.0,26,2022-10-26T12:48:00.732960
23.68,24.5,45.0,26,2022-10-26T12:48:05.746413
23.71,24.5,17.0,26,2022-10-26T12:48:10.752419
23.71,24.5,50.0,26,2022-10-26T12:48:15.757453
23.74,24.5,145.0,26,2022-10-26T12:48:20.772247
23.71,24.5,123.0,26,2022-10-26T12:48:25.778376
23.73,24.5,45.0,26,2022-10-26T12:48:30.791690
23.7,24.5,73.0,26,2022-10-26T12:48:35.827735
23.71,24.5,84.0,26,2022-10-26T12:48:40.839707
23.7,24.5,62.0,26,2022-10-26T12:48:45.854251
23.73,24.5,92.0,26,2022-10-26T12:48:50.873157
23.73,24.5,59.0,26,2022-10-26T12:48:55.892226
23.7,24.5,53.0,26,2022-10-26T12:49:00.916415
23.7,24.5,36.0,26,2022-10-26T12:49:05.932910
23.7,24.5,42.0,26,2022-10-26T12:49:10.948893
23.7,24.5,19.0,26,2022-10-26T12:49:15.974050
23.71,24.5,30.0,26,2022-10-26T12:49:21.001492
23.66,24.5,44.0,26,2022-10-26T12:49:26.020357
23.71,24.5,39.0,26,2022-10-26T12:49:31.041227
23.7,24.5,14.0,26,2022-10-26T12:49:36.056354
23.7,24.5,41.0,26,2022-10-26T12:49:41.071726
23.71,24.5,108.0,26,2022-10-26T12:49:46.095633
23.7,24.5,47.0,26,2022-10-26T12:49:51.106380
23.71,24.5,38.0,26,2022-10-26T12:49:56.122248
23.73,24.5,20.0,26,2022-10-26T12:50:01.140415
23.71,24.5,297.0,26,2022-10-26T12:50:06.157028
23.68,24.5,188.0,26,2022-10-26T12:50:11.176421
23.71,24.5,808.0,26,2022-10-26T12:50:16.196482
23.71,24.5,348.0,26,2022-10-26T12:50:21.206379
23.7,24.5,229.0,26,2022-10-26T12:50:26.266449
23.68,24.5,329.0,26,2022-10-26T12:50:31.287710
23.67,24.5,568.0,26,2022-10-26T12:50:36.306212
23.73,24.5,436.0,26,2022-10-26T12:50:41.323553
23.73,24.5,923.0,26,2022-10-26T12:50:46.346587
23.73,24.5,553.0,26,2022-10-26T12:50:51.366492
23.7,24.5,104.0,26,2022-10-26T12:50:56.376909
23.7,24.6,982.0,26,2022-10-26T12:51:01.426450
23.71,24.6,323.0,26,2022-10-26T12:51:06.456391
23.71,24.5,79.0,26,2022-10-26T12:51:11.472178
23.7,24.5,711.0,26,2022-10-26T12:51:16.493258
23.71,24.6,128.0,26,2022-10-26T12:51:21.506509
23.71,24.6,97.0,26,2022-10-26T12:51:26.526460
23.71,24.6,56.0,26,2022-10-26T12:51:31.546614
23.66,24.6,61.0,26,2022-10-26T12:51:36.566850
23.73,24.6,100.0,26,2022-10-26T12:51:41.591597
23.68,24.6,79.0,26,2022-10-26T12:51:46.607086
23.68,24.6,57.0,26,2022-10-26T12:51:51.623806
23.7,24.6,65.0,26,2022-10-26T12:51:56.640876
23.71,24.6,58.0,26,2022-10-26T12:52:01.656433
23.7,24.6,69.0,26,2022-10-26T12:52:06.676446
23.71,24.6,42.0,26,2022-10-26T12:52:11.696106
23.7,24.6,37.0,26,2022-10-26T12:52:16.717593
23.7,24.6,60.0,26,2022-10-26T12:52:21.737397
23.73,24.6,42.0,26,2022-10-26T12:52:26.766470
23.73,24.6,48.0,26,2022-10-26T12:52:31.796414
23.71,24.6,96.0,26,2022-10-26T12:52:36.817697
23.71,24.6,83.0,26,2022-10-26T12:52:41.855955
23.73,24.6,219.0,26,2022-10-26T12:52:46.880704
23.71,24.6,368.0,26,2022-10-26T12:52:51.897080
23.71,24.6,98.0,26,2022-10-26T12:52:56.942700
23.71,24.6,121.0,26,2022-10-26T12:53:01.959240
23.71,24.6,249.0,26,2022-10-26T12:53:06.976476
23.73,24.6,61.0,26,2022-10-26T12:53:11.991124
23.7,24.6,60.0,26,2022-10-26T12:53:17.016965
23.71,24.6,98.0,26,2022-10-26T12:53:22.036920
23.7,24.6,67.0,26,2022-10-26T12:53:27.053028
23.71,24.6,586.0,26,2022-10-26T12:53:32.082426
23.71,24.6,303.0,26,2022-10-26T12:53:37.110281
23.71,24.6,79.0,26,2022-10-26T12:53:42.139493
23.71,24.6,222.0,26,2022-10-26T12:53:47.156588
23.7,24.6,49.0,26,2022-10-26T12:53:52.179684
23.67,24.6,147.0,26,2022-10-26T12:53:57.199973
23.7,24.6,258.0,26,2022-10-26T12:54:02.221448
23.73,24.6,85.0,26,2022-10-26T12:54:07.242331
23.71,24.6,48.0,26,2022-10-26T12:54:12.260808
